,zip-code,neighborhood-latitude,neighborhood-longitude,venue-id,venue-name,venue-distance,venue-latitude,venue-longitude,venue-category
1839,220102,53.8649277,27.6663266,4fa7965ae4b098f42cb76cce,Столовая N12 МАЗ,389,53.8665748,27.671567600000003,Cafeteria
1840,220102,53.8649277,27.6663266,59df9edaf0ca951ecdcc46ae,Тьерри,693,53.860224,27.673245,Bakery
1841,220102,53.8649277,27.6663266,568fef76498e96ff731a3265,Гараж,783,53.85947320000001,27.6738602,Café
1842,220102,53.8649277,27.6663266,4fd5c761e4b00f27be1b2549,Теннисные Корты МАЗ,635,53.8632639,27.657065399999997,Tennis Court
1843,220102,53.8649277,27.6663266,4faf89d6e4b0d39d536b7cbe,Хлебный Магазин,654,53.867180700000006,27.6571111,Grocery Store
1844,220102,53.8649277,27.6663266,50a784e0e4b0d7e300431519,"ОАО ""Заводской Райпищеторг"" УНИВЕРСАМ",654,53.865038,27.656351899999997,Gourmet Shop
1845,220102,53.8649277,27.6663266,58b3c38461052868fb83b304,Топ курилка,682,53.862559999999995,27.65673,Nature Preserve
1846,220102,53.8649277,27.6663266,51169175e4b0805e137a1154,"Универсам ""На Горке""",715,53.8651941,27.6772232,Food & Drink Shop
1847,220102,53.8649277,27.6663266,574f0fc3498e9765f47526dd,Colin's,821,53.8596326,27.675041600000004,Clothing Store
1848,220102,53.8649277,27.6663266,5745f6d8498ee0bce6db40ee,LC Waikiki,843,53.8594743,27.675240000000002,Clothing Store
1849,220102,53.8649277,27.6663266,59b1095c16fa0461bd4b301d,Крошка-Картошка,843,53.859016000000004,27.67437,Fast Food Restaurant
1850,220102,53.8649277,27.6663266,50773c5245b05d74fe8ed96b,Рублёвский,560,53.86964820000001,27.669298100000002,Supermarket
1851,220119,53.9540306,27.6321441,5194b1ac7dd2fea34fc19edf,Полоцкий парк,287,53.951451600000006,27.6321602,Park
1852,220103,53.94721180000001,27.6290917,4fd5cf42e4b088343b969349,Сквер на Калиновского,237,53.945327,27.6307869,Park
1853,220103,53.94721180000001,27.6290917,4efb5c50e30093067397b0fa,Спортивный комплекс СДЮШОР,760,53.9489621,27.640311800000003,Martial Arts Dojo
1854,220119,53.9540306,27.6321441,4f2fa97ae4b050b64b6a72b2,ФОЦ «Первомайский»,390,53.951406299999995,27.6361032,Gym / Fitness Center
1855,220103,53.94721180000001,27.6290917,50964b44e4b087ea4436957a,Дворец борьбы им. Александра Медведя,59,53.946677,27.6291785,Gym / Fitness Center
1856,220103,53.94721180000001,27.6290917,4ffefc98e4b0f1ba28b56c0f,Виталюр,79,53.94730179999999,27.627884,Grocery Store
1857,220103,53.94721180000001,27.6290917,4fbd1769e4b09abf294f74ef,Корты в Севастопольском Парке,753,53.9411155,27.6240898,Tennis Court
1858,220103,53.94721180000001,27.6290917,4f8078bce4b088077ed06760,Винтаж,11,53.9472843,27.6289723,Deli / Bodega
1859,220103,53.94721180000001,27.6290917,54aead4b498eb893c9ed31a5,Тренажёрный зал в дв. им. А.Медведя,69,53.9465917,27.629058899999997,Gym
1860,220103,53.94721180000001,27.6290917,4e99998b5c5caa2f451913c4,"ФОК ""Ампласт""",752,53.94672760000001,27.6405542,Athletics & Sports
1861,220103,53.94721180000001,27.6290917,4e6c85361fc7396d096628bc,High Five Studio,452,53.944531299999994,27.623898999999998,Rock Club
1862,220103,53.94721180000001,27.6290917,50a23453e4b07e886be26499,Кулинария - Кафетерий,501,53.9452423,27.6222064,Cafeteria
1863,220103,53.94721180000001,27.6290917,4e1bfbc2e4cd1f7c5d7c2890,ООО Мипс,611,53.9435586,27.622127399999997,Electronics Store
1864,220103,53.94721180000001,27.6290917,577fd923cd10eb60eeae40ce,клуб 73,621,53.946288,27.638440000000003,Gym
1865,220119,53.9540306,27.6321441,513f13f7e4b05b7b6ee1414d,Тренажёрный зал,342,53.9519304,27.6359589,Gym
1866,220104,53.9209063,27.4795343,4f01a03a0e618ea7684816b3,"Сауна ""Карибы""",736,53.916588,27.4710142,Spa
1867,220104,53.9209063,27.4795343,5a6713226fa81f1e556ee82a,Bigzz Market,393,53.917390000000005,27.478921999999997,Convenience Store
1868,220104,53.9209063,27.4795343,5145dd9be4b0c11f7e8c5ec5,"Японская баня ""ОФУРО"" Гармония SPA",730,53.9166914,27.470992,Bath House
1869,220124,53.92906070000001,27.4737327,55969ea3498e7530f68db420,Виталюр,366,53.92589739999999,27.475288899999995,Food & Drink Shop
1870,220104,53.9209063,27.4795343,55e04859498ef9458ea81794,Парк Green,423,53.918122100000005,27.4751407,Park
1871,220104,53.9209063,27.4795343,50b9bf8ae4b03e0688ac416e,"Шиномонтаж ""Ильмис""",569,53.9224424,27.471253000000004,Auto Garage
1872,220121,53.90892660000001,27.4732373,55d78131498e5b8f9d4fcbb7,"Парк ""Тивали""",702,53.91518670000001,27.4718555,Park
1873,220104,53.9209063,27.4795343,53748bc3498e1eca58d6565b,Кафе «Либра»,719,53.916724,27.471168,Café
1874,220104,53.9209063,27.4795343,5231e56e11d287a48c0001ec,Зеленая Зона,831,53.915087899999996,27.471592600000005,Park
1875,220104,53.9209063,27.4795343,518122cb498e32aa5da849de,"Аптека ""Белфарм""",851,53.92818470000001,27.4835488,Pharmacy
1876,220107,53.8768551,27.6185083,50bf7676e4b06aca377085e0,Аптека,790,53.8728973,27.6285055,Pharmacy
1877,220107,53.8768551,27.6185083,5a3cfbd312f0a96247c93479,Корона,824,53.876082999999994,27.606007,Food & Drink Shop
1878,220107,53.8768551,27.6185083,4fdefa52e4b09473e2701b33,Столовая МПЗ,830,53.880283299999995,27.6297565,Cafeteria
1879,220107,53.8768551,27.6185083,521de0b711d250b42b0ea081,Остров чистоты,847,53.87456170000001,27.6308167,Miscellaneous Shop
1880,220107,53.8768551,27.6185083,53845c0b498ea6ffdd0d5794,Чарка и шкварка,848,53.8745134,27.6308151,Convenience Store
1881,220108,53.846514,27.5007829,50c5bb70e4b09269c6aa0cb7,"ТСК ""Людмила""",476,53.848218,27.507445,Athletics & Sports
1882,220120,53.84264930000001,27.5040468,56d1d18ccd105c886b789cf6,Fusion Sushi,368,53.839436,27.505415000000003,Sushi Restaurant
1883,220108,53.846514,27.5007829,4f9c2dbce4b04b5a6850b239,Белая Дача,771,53.851514,27.508907300000004,Park
1884,220120,53.84264930000001,27.5040468,5186b158498ea9a7812081a2,Живинка,459,53.845896700000004,27.5083765,Gourmet Shop
1885,220120,53.84264930000001,27.5040468,4d2d8dcb853ff04db2a9c9da,Столовая Интеграла,185,53.8431915,27.506723600000004,Cafeteria
1886,220108,53.846514,27.5007829,511cb9ade4b0962fa63c343b,Столовая МГК Электроники,600,53.848279299999994,27.5094212,Cafeteria
1887,220108,53.846514,27.5007829,50364bf7e4b074a234f7167c,Живинка,635,53.843654,27.492406300000003,Food & Drink Shop
1888,220108,53.846514,27.5007829,4e63742318a8ce02fd480477,Курасовщинский рынок,299,53.8465745,27.4962299,Farmers Market
1889,220108,53.846514,27.5007829,5030cb85e4b003c0ed3c3275,Белмаркет,822,53.84732370000001,27.488328000000003,Grocery Store
1890,220109,53.8256279,27.7649054,528c905511d2ff4e87ce3058,Магазин №27 ТПКУП Минский Хладокомбинат № 2,83,53.8255166,27.7661613,Department Store
1891,220109,53.8256279,27.7649054,540b427a498e9abf6712d04c,Что-то рОковое,121,53.8256029,27.766747,Kosher Restaurant
1892,220111,53.8669422,27.6039403,4f82ee83e4b00d7484171861,Продукты,496,53.862619099999996,27.602094800000003,Food & Drink Shop
1893,220112,53.8383575,27.56827,4fb5e61ee4b037d01d7aa5c9,ГИППО,369,53.84048789999999,27.572583,Big Box Store
1894,220112,53.8383575,27.56827,5077f7e0e4b0eb8b82c28b5a,Гараж,369,53.8403233,27.5728083,Café
1895,220112,53.8383575,27.56827,51cf1208498eb13e29bf4c44,Доктор вет,380,53.840179299999996,27.5731678,Pet Store
1896,220112,53.8383575,27.56827,4fbcb561e4b015d2679ba5cb,Классические вина,529,53.8361387,27.5753939,Wine Shop
1897,220112,53.8383575,27.56827,4f86fd0ae4b0603bf27cb6a5,Мила,664,53.8443083,27.5690881,Cosmetics Shop
1898,220112,53.8383575,27.56827,570a5fe9498e89088ecf9cc2,Остров читстоты,773,53.845284,27.567419,Cosmetics Shop
1899,220112,53.8383575,27.56827,572b145e498e53c1a503acbc,Wildberries,803,53.84533689999999,27.5651608,Clothing Store
1900,220113,53.9404961,27.6055473,4f23cc65e4b063d4ffd4cb05,Классические Вина,270,53.942652100000004,27.607459499999997,Wine Shop
1901,220113,53.9404961,27.6055473,4f9e90b0e4b09fef55182ae1,Кинокомната,354,53.9391424,27.600648200000002,Movie Theater
1902,220113,53.9404961,27.6055473,529df97d11d251ed992249f9,FitCurves,372,53.9386465,27.600801,Gym / Fitness Center
1903,220113,53.9404961,27.6055473,565dbb1a498eb8af9eaa0d0c,Пивной фей,530,53.939268799999994,27.597730600000006,Beer Store
1904,220113,53.9404961,27.6055473,4fcc9d7ee4b00d94c6e3dd68,Сквер на Восточной,198,53.939646999999994,27.6028827,Park
1905,220113,53.9404961,27.6055473,4f5de18ee4b0a61f4d4a9722,Центр здоровья и красоты «Сумеру»,303,53.9392455,27.6014277,Yoga Studio
1906,220113,53.9404961,27.6055473,50faca15e4b0096f86ed94c2,Terra Pizza,256,53.9394649,27.6020512,Pizza Place
1907,220113,53.9404961,27.6055473,5447e939498e170fd97dc9fc,La Forza,550,53.939510999999996,27.5973183,Gym / Fitness Center
1908,220113,53.9404961,27.6055473,5889839b0e0a1e7a11f7ef9a,YOU COFFEE,581,53.943511,27.598305,Coffee Shop
1909,220113,53.9404961,27.6055473,59c15454a35dce479e6187d5,"Ресторан ""Восточный""",495,53.939399,27.598221999999996,Chinese Restaurant
1910,220113,53.9404961,27.6055473,4f50721ae4b057e325364bab,Райдер,248,53.942416200000004,27.607487100000004,Bike Shop
1911,220113,53.9404961,27.6055473,534e6574498e9086ef771f0f,Винарь,441,53.939932999999996,27.598884,Liquor Store
1912,220113,53.9404961,27.6055473,57ee4bfecd10bbfcf52dd178,Пекарня,576,53.941788,27.597027,Bakery
1913,220113,53.9404961,27.6055473,58760d5a76f2ca32f4c8e7ba,Вы&печка,582,53.941663,27.596881,Coffee Shop
1914,220113,53.9404961,27.6055473,562fd0d2498efc9b773a6a0a,Корона,500,53.9444682,27.609136100000004,Supermarket
1915,220113,53.9404961,27.6055473,53ee2868498e164675a557ed,Суши хата,573,53.942861,27.597776,Sushi Restaurant
1916,220113,53.9404961,27.6055473,555c8c6d498e86f0d87b3ce4,Златка,534,53.9392772,27.597654,Grocery Store
1917,220113,53.9404961,27.6055473,50ed532ce4b0e5d3c781c0f3,Белчип,562,53.942486200000005,27.597653899999997,Electronics Store
1918,220113,53.9404961,27.6055473,5c9785a0234724002c1ec3d7,Копилка Дискаунтер,331,53.94341,27.604509999999998,Food & Drink Shop
1919,220113,53.9404961,27.6055473,501ce9b3e4b0063e0352e5b5,Еврогород,589,53.9395379,27.5966983,Hardware Store
1920,220113,53.9404961,27.6055473,51e167368bbd74f34b4a81a5,ЗооПланета,589,53.9432179,27.5978279,Pet Store
1921,220113,53.9404961,27.6055473,5945970308815818ea19b58d,Ю Кофе,596,53.94400400000001,27.598658,Café
1922,220113,53.9404961,27.6055473,5a201efedd84422b6fabc9e7,Пункт Самовывоза Wildberries,858,53.937430000000006,27.593529999999998,Clothing Store
1923,220114,53.93249880000001,27.6438935,4e2f0c538877341a514e8766,Парк писателей,338,53.9294618,27.643919,Park
1924,220114,53.93249880000001,27.6438935,4faa6183e4b04f8c9429c4a8,Обзорный лифт Национальной библиотеки,216,53.931129299999995,27.6462386,Scenic Lookout
1925,220114,53.93249880000001,27.6438935,4d556faaa05c37043cbdb887,ФОК НББ,189,53.930952600000005,27.645099199999997,Gym
1926,220114,53.93249880000001,27.6438935,598a07a2356b49253b667c33,Zara Home,669,53.93412270000001,27.653736100000003,Furniture / Home Store
1927,220114,53.93249880000001,27.6438935,5953e2dcdb2aeb1e15c33e7a,Voka Cinema,670,53.9340098,27.653789500000002,Multiplex
1928,220114,53.93249880000001,27.6438935,55db4db9498ee9a17cd1f246,Dana Mall,549,53.933580299999996,27.6520729,Shopping Mall
1929,220114,53.93249880000001,27.6438935,58ff6088d7627e0bc0903be8,Букашкин дом,791,53.9336836,27.6558022,Bookstore
1930,220114,53.93249880000001,27.6438935,5ca644b72bf29b002dcefede,Pilligreen,678,53.93118199999999,27.654002000000002,Coffee Shop
1931,220114,53.93249880000001,27.6438935,53b941fc498ef894b65ceaba,ButterBro,820,53.9266846,27.6515874,Bistro
1932,220114,53.93249880000001,27.6438935,5991e3f6bcbf7a39a43f2717,Sorso di espresso,693,53.934039799999994,27.65415,Coffee Shop
1933,220114,53.93249880000001,27.6438935,5b65df90175562002cbe429c,Gan Bei,555,53.9334745,27.652204600000005,Asian Restaurant
1934,220114,53.93249880000001,27.6438935,598c0f8a35dfa7464edc9301,Bershka,658,53.9336037,27.6537608,Clothing Store
1935,220114,53.93249880000001,27.6438935,59a2e8d9c0af5754de5537af,Salateira,540,53.93351679999999,27.651959899999998,Salad Place
1936,220114,53.93249880000001,27.6438935,5a7309148e886a480c6e2519,Cinnabon,641,53.9338057,27.6534196,Bakery
1937,220114,53.93249880000001,27.6438935,598ec4a1419a9e61642b7597,Zara,682,53.934014000000005,27.653976699999998,Clothing Store
1938,220114,53.93249880000001,27.6438935,598cb408dd12f8153a4e5228,Oysho,616,53.9338044,27.6530391,Lingerie Store
1939,220114,53.93249880000001,27.6438935,59566b989ec39962189d0820,Carl's Jr.,584,53.9336435,27.6526047,Burger Joint
1940,220114,53.93249880000001,27.6438935,598db722a879210716aaf98a,Pull&Bear,664,53.933591899999996,27.6538588,Clothing Store
1941,220114,53.93249880000001,27.6438935,5bb8b743e1f0aa002ce68ade,The Coffee Room,477,53.932404000000005,27.651175,Coffee Shop
1942,220114,53.93249880000001,27.6438935,598ecb8bdd844204281de016,Stradivarius,643,53.9339628,27.6533941,Women's Store
1943,220114,53.93249880000001,27.6438935,4f959705e4b02d4704b71152,Обзорная площадка Национальной библиотеки,210,53.9311801,27.6462031,Scenic Lookout
1944,220114,53.93249880000001,27.6438935,595f84c59be5224b9b80a863,Фудкорт Dana Mall,587,53.93366579999999,27.652629100000002,Food Court
1945,220114,53.93249880000001,27.6438935,5bb61035464d65002c5515e8,KFC,599,53.933696999999995,27.652804999999997,Fast Food Restaurant
1946,220114,53.93249880000001,27.6438935,4d24750d3c026ea80aa18b4e,Graf Cafe,210,53.931165299999996,27.6461738,Café
1947,220114,53.93249880000001,27.6438935,4ff804dfe4b054fbaabe2cb7,Галерея «Панорама»,211,53.931165799999995,27.646187,Art Gallery
1948,220114,53.93249880000001,27.6438935,5c49f2d9838e59003910f4d7,Easy Soup,615,53.933884,27.652990000000003,Soup Place
1949,220114,53.93249880000001,27.6438935,5b8010e575dcb7002c0c8dd3,Васильки,566,53.93318000000001,27.652465999999997,Belarusian Restaurant
1950,220114,53.93249880000001,27.6438935,5a7c650a8194fc36a409efb1,Paul,640,53.9338995,27.6533684,Bakery
1951,220114,53.93249880000001,27.6438935,59cbdeefca18ea509f87b09f,Burger King,598,53.9336907,27.652801399999998,Fast Food Restaurant
